pyr_scale,levels,winsize,iterations,poly_n,poly_sigma,avg_EPE
0.3,1,9,3,7,1.5,7.572692604
0.7,4,21,5,5,1.5,7.57245622
0.3,2,15,3,7,1.5,7.572437571
0.3,3,15,3,7,1.5,7.572437571
0.3,4,15,3,7,1.5,7.572437571
0.7,3,21,5,5,1.5,7.571937191
0.7,4,21,5,7,1.5,7.571850639
0.3,1,15,3,5,1.5,7.571474896
0.7,3,21,5,7,1.5,7.571329659
0.3,1,15,3,7,1.5,7.570610521
0.5,2,15,1,7,1.5,7.569425038
0.7,4,21,3,5,1.5,7.569107852
0.7,4,21,3,7,1.5,7.56862661
0.5,2,15,1,5,1.5,7.568155316
0.7,3,21,3,5,1.5,7.5669709
0.5,2,9,1,5,1.5,7.566934805
0.7,3,21,3,7,1.5,7.566507861
0.5,2,9,1,7,1.5,7.566174282
0.5,2,15,1,7,1.1,7.565153484
0.5,2,15,1,5,1.1,7.565130675
0.5,3,21,3,7,1.1,7.564271555
0.5,4,21,3,7,1.1,7.564271555
0.5,3,21,3,5,1.1,7.564261958
0.5,4,21,3,5,1.1,7.564261958
0.5,2,21,5,5,1.5,7.564048878
0.5,3,21,5,5,1.5,7.564047363
0.5,4,21,5,5,1.5,7.564047363
0.5,2,21,3,7,1.1,7.563752683
0.5,2,21,3,5,1.1,7.563742708
0.5,2,21,5,7,1.5,7.563572565
0.5,3,21,5,7,1.5,7.563570711
0.5,4,21,5,7,1.5,7.563570711
0.7,3,15,1,7,1.5,7.557817453
0.7,3,15,1,5,1.5,7.557498316
0.5,3,21,3,5,1.5,7.55579988
0.5,4,21,3,5,1.5,7.55579988
0.5,2,21,3,5,1.5,7.555768697
0.5,3,21,3,7,1.5,7.555534588
0.5,4,21,3,7,1.5,7.555534588
0.5,2,21,3,7,1.5,7.555503799
0.7,2,15,5,7,1.5,7.549840296
0.7,2,15,5,5,1.5,7.549830398
0.3,2,9,1,7,1.5,7.548331248
0.3,3,9,1,7,1.5,7.548331248
0.3,4,9,1,7,1.5,7.548331248
0.3,2,9,1,5,1.5,7.547753224
0.3,3,9,1,5,1.5,7.547753224
0.3,4,9,1,5,1.5,7.547753224
0.7,4,21,1,7,1.5,7.546330815
0.7,4,21,1,5,1.5,7.545236317
0.7,4,21,1,7,1.1,7.542923821
0.7,4,21,1,5,1.1,7.542903598
0.7,2,21,5,7,1.5,7.538048117
0.7,2,21,5,5,1.5,7.537763061
0.7,3,9,1,5,1.5,7.533474167
0.5,1,15,5,5,1.5,7.532728453
0.5,1,15,5,7,1.5,7.532706076
0.7,3,9,1,7,1.5,7.532480108
0.3,2,15,1,7,1.5,7.530557585
0.3,3,15,1,7,1.5,7.530557585
0.3,4,15,1,7,1.5,7.530557585
0.3,2,15,1,5,1.5,7.525974418
0.3,3,15,1,5,1.5,7.525974418
0.3,4,15,1,5,1.5,7.525974418
0.5,1,21,5,7,1.5,7.523008197
0.5,1,21,5,5,1.5,7.522613169
0.7,3,21,1,7,1.5,7.522157355
0.7,3,21,1,5,1.5,7.520480749
0.3,1,21,5,7,1.5,7.518419548
0.3,2,21,5,7,1.5,7.518333549
0.3,3,21,5,7,1.5,7.518333549
0.3,4,21,5,7,1.5,7.518333549
0.3,1,21,5,5,1.5,7.518198958
0.3,2,21,5,5,1.5,7.518090462
0.3,3,21,5,5,1.5,7.518090462
0.3,4,21,5,5,1.5,7.518090462
0.3,2,21,5,7,1.1,7.514848946
0.3,3,21,5,7,1.1,7.514848946
0.3,4,21,5,7,1.1,7.514848946
0.3,2,21,5,5,1.1,7.514834422
0.3,3,21,5,5,1.1,7.514834422
0.3,4,21,5,5,1.1,7.514834422
0.3,1,21,5,7,1.1,7.514578455
0.3,1,21,5,5,1.1,7.514563503
0.3,1,15,1,7,1.5,7.510419872
0.7,2,15,3,7,1.5,7.510411876
0.7,2,15,3,5,1.5,7.509989794
0.7,2,21,3,7,1.5,7.506822281
0.3,1,9,1,7,1.5,7.506067216
0.3,1,9,1,5,1.5,7.505982583
0.3,1,15,1,5,1.5,7.505972486
0.7,2,21,3,5,1.5,7.505866122
0.5,3,21,1,7,1.5,7.505616187
0.5,4,21,1,7,1.5,7.505616187
0.5,2,21,1,7,1.5,7.503567922
0.5,3,21,1,5,1.5,7.502178511
0.5,4,21,1,5,1.5,7.502178511
0.5,2,21,1,5,1.5,7.500025809
0.7,4,15,5,5,1.9,7.495229667
0.7,3,15,5,5,1.9,7.494396374
0.3,2,15,1,7,1.1,7.493375225
0.3,3,15,1,7,1.1,7.493375225
0.3,4,15,1,7,1.1,7.493375225
0.3,2,15,1,5,1.1,7.493329579
0.3,3,15,1,5,1.1,7.493329579
0.3,4,15,1,5,1.1,7.493329579
0.3,1,21,3,7,1.5,7.492855149
0.7,4,15,3,5,1.9,7.492587167
0.3,2,21,3,7,1.5,7.492547446
0.3,3,21,3,7,1.5,7.492547446
0.3,4,21,3,7,1.5,7.492547446
0.3,1,21,3,5,1.5,7.49211335
0.3,2,21,3,5,1.5,7.491839131
0.3,3,21,3,5,1.5,7.491839131
0.3,4,21,3,5,1.5,7.491839131
0.7,3,15,3,5,1.9,7.490939213
0.5,2,15,5,5,1.9,7.487243211
0.5,3,15,5,5,1.9,7.487238386
0.5,4,15,5,5,1.9,7.487238386
0.7,2,9,5,5,1.5,7.484268403
0.7,2,9,5,7,1.5,7.483750104
0.5,2,15,3,5,1.9,7.48257793
0.5,3,15,3,5,1.9,7.482548484
0.5,4,15,3,5,1.9,7.482548484
0.5,1,15,3,7,1.5,7.481215049
0.5,1,15,3,5,1.5,7.480151416
0.5,1,21,3,7,1.5,7.476008933
0.3,2,21,3,7,1.1,7.475431985
0.3,3,21,3,7,1.1,7.475431985
0.3,4,21,3,7,1.1,7.475431985
0.3,2,21,3,5,1.1,7.475412885
0.3,3,21,3,5,1.1,7.475412885
0.3,4,21,3,5,1.1,7.475412885
0.7,4,9,5,5,1.9,7.475320111
0.5,1,21,3,5,1.5,7.474640565
0.3,1,21,3,7,1.1,7.473984824
0.3,1,21,3,5,1.1,7.473965435
0.7,4,15,1,5,1.9,7.470639367
0.5,3,21,1,7,1.1,7.470403036
0.5,4,21,1,7,1.1,7.470403036
0.5,3,21,1,5,1.1,7.47036552
0.5,4,21,1,5,1.1,7.47036552
0.3,2,15,5,5,1.9,7.467428352
0.3,3,15,5,5,1.9,7.467428352
0.3,4,15,5,5,1.9,7.467428352
0.3,1,15,5,5,1.9,7.46736972
0.7,3,9,5,5,1.9,7.467096703
0.7,4,21,5,5,1.9,7.465624974
0.7,3,21,5,5,1.9,7.465620173
0.7,3,15,1,7,1.1,7.465546606
0.7,3,15,1,5,1.1,7.465524356
0.7,2,15,5,5,1.9,7.465507191
0.7,4,9,3,5,1.9,7.464592794
0.7,4,21,3,5,1.9,7.462773885
0.7,3,21,3,5,1.9,7.46218716
0.5,1,9,5,5,1.5,7.461532431
0.5,1,9,5,7,1.5,7.461083095
0.3,2,15,3,5,1.9,7.45859571
0.3,3,15,3,5,1.9,7.45859571
0.3,4,15,3,5,1.9,7.45859571
0.3,1,15,3,5,1.9,7.458363009
0.7,2,21,5,7,1.1,7.457837886
0.5,3,9,5,5,1.9,7.457816816
0.5,4,9,5,5,1.9,7.457816816
0.7,2,21,5,5,1.1,7.457815704
0.5,2,9,5,5,1.9,7.457731523
0.5,2,21,5,5,1.9,7.457040101
0.5,3,21,5,5,1.9,7.457039331
0.5,4,21,5,5,1.9,7.457039331
0.5,2,21,1,7,1.1,7.456843282
0.5,2,21,1,5,1.1,7.456802216
0.7,3,15,1,5,1.9,7.454657455
0.7,3,9,3,5,1.9,7.454148018
0.3,1,9,1,7,1.1,7.453520868
0.3,1,9,1,5,1.1,7.453500784
0.7,2,21,5,5,1.9,7.453058101
0.5,1,15,5,5,1.9,7.451556005
0.5,2,21,3,5,1.9,7.450177408
0.5,3,21,3,5,1.9,7.450160027
0.5,4,21,3,5,1.9,7.450160027
0.5,3,9,3,5,1.9,7.449458645
0.5,4,9,3,5,1.9,7.449458645
0.5,2,9,3,5,1.9,7.448913789
0.7,3,9,1,7,1.1,7.447881317
0.7,3,9,1,5,1.1,7.447865729
0.7,2,15,3,5,1.9,7.44679542
0.7,4,15,5,7,1.9,7.444559692
0.7,3,15,5,7,1.9,7.443801002
0.3,2,9,5,5,1.9,7.443238981
0.3,3,9,5,5,1.9,7.443238981
0.3,4,9,5,5,1.9,7.443238981
0.7,4,15,3,7,1.9,7.442657987
0.3,1,9,5,5,1.9,7.441588702
0.7,3,15,3,7,1.9,7.441150351
0.5,1,21,5,5,1.9,7.440983773
0.7,2,15,5,7,1.1,7.440713562
0.7,2,15,5,5,1.1,7.440695528
0.5,3,15,1,5,1.9,7.440526122
0.5,4,15,1,5,1.9,7.440526122
0.5,2,15,1,5,1.9,7.438451992
0.7,2,9,3,7,1.5,7.437702103
0.7,2,21,3,5,1.9,7.437651884
0.7,2,9,3,5,1.5,7.437533925
0.5,3,15,5,7,1.9,7.436560886
0.5,4,15,5,7,1.9,7.436560886
0.5,2,15,5,7,1.9,7.436553067
0.3,2,9,3,5,1.9,7.434745895
0.3,3,9,3,5,1.9,7.434745895
0.3,4,9,3,5,1.9,7.434745895
0.7,4,9,1,5,1.9,7.434731475
0.5,3,15,3,7,1.9,7.432933425
0.5,4,15,3,7,1.9,7.432933425
0.5,2,15,3,7,1.9,7.432902991
0.7,4,21,1,5,1.9,7.432618635
0.3,1,9,3,5,1.9,7.431696589
0.7,4,15,1,7,1.9,7.42794881
0.5,1,15,3,5,1.9,7.426884989
0.7,3,21,1,5,1.9,7.423743121
0.7,3,21,1,7,1.1,7.422462325
0.7,3,21,1,5,1.1,7.422430027
0.7,4,21,5,7,1.9,7.422348414
0.7,3,21,5,7,1.9,7.421752985
0.3,1,21,5,5,1.9,7.421546211
0.3,2,21,5,5,1.9,7.421545887
0.3,3,21,5,5,1.9,7.421545887
0.3,4,21,5,5,1.9,7.421545887
0.3,1,15,1,7,1.1,7.420607731
0.3,1,15,1,5,1.1,7.420558866
0.3,2,15,5,7,1.9,7.420334318
0.3,3,15,5,7,1.9,7.420334318
0.3,4,15,5,7,1.9,7.420334318
0.3,1,15,5,7,1.9,7.420318966
0.7,4,21,3,7,1.9,7.419794995
0.7,3,21,3,7,1.9,7.419270891
0.5,1,21,5,7,1.1,7.419087261
0.5,1,21,5,5,1.1,7.41906307
0.7,2,15,5,7,1.9,7.41873303
0.5,1,21,3,5,1.9,7.417142136
0.7,3,15,1,7,1.9,7.414377133
0.3,2,15,3,7,1.9,7.413165553
0.3,3,15,3,7,1.9,7.413165553
0.3,4,15,3,7,1.9,7.413165553
0.5,2,21,5,7,1.9,7.413095852
0.5,3,21,5,7,1.9,7.413095063
0.5,4,21,5,7,1.9,7.413095063
0.7,4,9,5,7,1.9,7.413021358
0.3,1,15,3,7,1.9,7.412915586
0.5,3,9,1,5,1.9,7.41210829
0.5,4,9,1,5,1.9,7.41210829
0.7,2,21,5,7,1.9,7.411787629
0.5,1,9,3,7,1.5,7.409565045
0.5,1,9,3,5,1.5,7.409399094
0.7,3,9,1,5,1.9,7.408888863
0.5,2,21,3,7,1.9,7.40798524
0.5,3,21,3,7,1.9,7.407978843
0.5,4,21,3,7,1.9,7.407978843
0.5,3,15,1,7,1.9,7.407613382
0.5,4,15,1,7,1.9,7.407613382
0.5,2,9,1,5,1.9,7.407119088
0.5,2,15,1,7,1.9,7.406410479
0.7,2,9,5,5,1.9,7.40607772
0.7,3,9,5,7,1.9,7.405740645
0.5,1,15,5,7,1.9,7.405178472
0.7,2,15,3,7,1.9,7.403241353
0.7,4,9,3,7,1.9,7.402882276
0.3,1,21,3,5,1.9,7.402421086
0.3,2,21,3,5,1.9,7.402316608
0.3,3,21,3,5,1.9,7.402316608
0.3,4,21,3,5,1.9,7.402316608
0.5,1,15,5,7,1.1,7.401328511
0.5,1,15,5,5,1.1,7.401307646
0.3,2,21,1,7,1.5,7.400094177
0.3,3,21,1,7,1.5,7.400094177
0.3,4,21,1,7,1.5,7.400094177
0.7,4,21,1,7,1.9,7.399740341
0.5,1,21,5,7,1.9,7.399501645
