algorithm,pyr_scale,levels,winsize,iterations,poly_n,poly_sigma,mean_error
Farneback,0.7,1,9,3,7,1.5,1.344716367337948
Farneback,0.7,1,9,5,5,1.1,1.7021628576522623
Farneback,0.7,1,9,5,5,1.5,1.2731982318751331
Farneback,0.7,1,9,5,7,1.1,1.702134910381847
Farneback,0.7,1,9,5,7,1.5,1.2696078222098135
Farneback,0.7,1,15,1,5,1.1,2.1392667722375727
Farneback,0.7,1,15,1,5,1.5,1.4837934361652558
Farneback,0.7,1,15,1,7,1.1,2.1392209312914034
Farneback,0.7,1,15,1,7,1.5,1.4775042285878837
Farneback,0.7,1,15,3,5,1.1,1.5990805820519156
Farneback,0.7,1,15,3,5,1.5,1.1523885567711027
Farneback,0.7,1,15,3,7,1.1,1.5990431416639237
Farneback,0.7,1,15,3,7,1.5,1.1482672999123544
Farneback,0.7,1,15,5,5,1.1,1.4095014834601105
Farneback,0.7,1,15,5,5,1.5,1.066180866583343
Farneback,0.7,1,15,5,7,1.1,1.4094697696323168
Farneback,0.7,1,15,5,7,1.5,1.063077783221708
Farneback,0.7,1,21,1,5,1.1,2.111710611472806
Farneback,0.7,1,21,1,5,1.5,1.432333064726287
Farneback,0.7,1,21,1,7,1.1,2.1116535670944514
Farneback,0.7,1,21,1,7,1.5,1.4244479935657068
Farneback,0.7,1,21,3,5,1.1,1.4735913770510292
Farneback,0.7,1,21,3,5,1.5,1.058789538963146
Farneback,0.7,1,21,3,7,1.1,1.4735483213500729
Farneback,0.7,1,21,3,7,1.5,1.0547147990722379
Farneback,0.7,1,21,5,5,1.1,1.2570815293954727
Farneback,0.7,1,21,5,5,1.5,0.969018661292207
Farneback,0.7,1,21,5,7,1.1,1.257046403478774
Farneback,0.7,1,21,5,7,1.5,0.9663279666915686
Farneback,0.7,3,9,1,5,1.1,0.8947441402298071
Farneback,0.7,3,9,1,5,1.5,0.864931383399681
Farneback,0.7,3,9,1,7,1.1,0.8947391682699305
Farneback,0.7,3,9,1,7,1.5,0.8663307810419508
Farneback,0.7,3,9,3,5,1.1,0.831154398379685
Farneback,0.7,3,9,3,5,1.5,0.8531967427102125
Farneback,0.7,3,9,3,7,1.1,0.8311548033749141
Farneback,0.7,3,9,3,7,1.5,0.8546341369951728
Farneback,0.7,3,9,5,5,1.1,0.8216235315695287
Farneback,0.7,3,9,5,5,1.5,0.8573582770291494
Farneback,0.7,3,9,5,7,1.1,0.821623657759866
Farneback,0.7,3,9,5,7,1.5,0.8587829377410704
Farneback,0.7,3,15,1,5,1.1,0.841128695901699
Farneback,0.7,3,15,1,5,1.5,0.8110775474588382
Farneback,0.7,3,15,1,7,1.1,0.8411226636024327
Farneback,0.7,3,15,1,7,1.5,0.8118678314805746
Farneback,0.7,3,15,3,5,1.1,0.7896085498734982
Farneback,0.7,3,15,3,5,1.5,0.8081511334027658
Farneback,0.7,3,15,3,7,1.1,0.7896073137624312
Farneback,0.7,3,15,3,7,1.5,0.8089642098397267
Farneback,0.7,3,15,5,5,1.1,0.7866786174763228
Farneback,0.7,3,15,5,5,1.5,0.809222601646847
Farneback,0.7,3,15,5,7,1.1,0.7866792121699905
Farneback,0.7,3,15,5,7,1.5,0.8100627731946989
Farneback,0.7,3,21,1,5,1.1,0.8249283726931043
Farneback,0.7,3,21,1,5,1.5,0.7946230155328803
Farneback,0.7,3,21,1,7,1.1,0.8249187832151174
Farneback,0.7,3,21,1,7,1.5,0.7951290746020971
Farneback,0.7,3,21,3,5,1.1,0.777205966779962
Farneback,0.7,3,21,3,5,1.5,0.795202497333839
Farneback,0.7,3,21,3,7,1.1,0.7772051732390863
Farneback,0.7,3,21,3,7,1.5,0.7957979254029081
Farneback,0.7,3,21,5,5,1.1,0.7761253952360327
Farneback,0.7,3,21,5,5,1.5,0.7951431926909183
Farneback,0.7,3,21,5,7,1.1,0.7761259823384696
Farneback,0.7,3,21,5,7,1.5,0.7957463812410391
Farneback,0.7,5,9,1,5,1.1,0.7954449901865521
Farneback,0.7,5,9,1,5,1.5,0.8399629977358297
Farneback,0.7,5,9,1,7,1.1,0.7954474499176538
Farneback,0.7,5,9,1,7,1.5,0.8415875185520524
Farneback,0.7,5,9,3,5,1.1,0.8008222785657366
Farneback,0.7,5,9,3,5,1.5,0.8459211462081139
Farneback,0.7,5,9,3,7,1.1,0.800824556452832
Farneback,0.7,5,9,3,7,1.5,0.8478267381475506
Farneback,0.7,5,9,5,5,1.1,0.8034187823021481
Farneback,0.7,5,9,5,5,1.5,0.852199522345492
Farneback,0.7,5,9,5,7,1.1,0.8034210323491255
Farneback,0.7,5,9,5,7,1.5,0.8539177214356632
Farneback,0.7,5,15,1,5,1.1,0.7753415546351377
Farneback,0.7,5,15,1,5,1.5,0.8004318038511721
Farneback,0.7,5,15,1,7,1.1,0.7753434735758931
Farneback,0.7,5,15,1,7,1.5,0.8013891325419923
Farneback,0.7,5,15,3,5,1.1,0.7812382034088075
Farneback,0.7,5,15,3,5,1.5,0.8054064403490938
Farneback,0.7,5,15,3,7,1.1,0.7812392423276603
Farneback,0.7,5,15,3,7,1.5,0.8062390789913523
Farneback,0.7,5,15,5,5,1.1,0.782200331795891
Farneback,0.7,5,15,5,5,1.5,0.8070923238170137
Farneback,0.7,5,15,5,7,1.1,0.7822014649604653
Farneback,0.7,5,15,5,7,1.5,0.8078965362722121
Farneback,0.7,5,21,1,5,1.1,0.7727091135368437
Farneback,0.7,5,21,1,5,1.5,0.789062836462024
Farneback,0.7,5,21,1,7,1.1,0.7727084430572174
Farneback,0.7,5,21,1,7,1.5,0.7897662777262634
Farneback,0.7,5,21,3,5,1.1,0.7748976931883153
Farneback,0.7,5,21,3,5,1.5,0.7945371786212698
Farneback,0.7,5,21,3,7,1.1,0.7748980228202094
Farneback,0.7,5,21,3,7,1.5,0.7951607276126557
Farneback,0.7,5,21,5,5,1.1,0.7759559887409204
Farneback,0.7,5,21,5,5,1.5,0.7950979195837761
Farneback,0.7,5,21,5,7,1.1,0.7759560117943534
Farneback,0.7,5,21,5,7,1.5,0.7956976358069962
