algorithm,parameters,sequence,mean_error,max_error,error_std,ssim,runtime_s
DIS,"{'setFinestScale': 1, 'setPatchSize': 12, 'setPatchStride': 4, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,42.26603635152181,253.43782552083334,35.15574518839518,0.1627114650959138,0.060109853744506836
DIS,"{'setFinestScale': 1, 'setPatchSize': 12, 'setPatchStride': 4, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,42.042826334635414,252.517578125,35.030935287475586,0.16402709519569786,0.06142830848693848
DIS,"{'setFinestScale': 1, 'setPatchSize': 12, 'setPatchStride': 6, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,42.34292856852213,254.57649739583334,35.27318509419759,0.16008057229827138,0.04497337341308594
DIS,"{'setFinestScale': 1, 'setPatchSize': 12, 'setPatchStride': 6, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,42.359274546305336,253.79280598958334,35.216670989990234,0.16054842870075248,0.04347991943359375
DIS,"{'setFinestScale': 2, 'setPatchSize': 8, 'setPatchStride': 4, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,42.50891367594401,253.35530598958334,35.3184560139974,0.14029354293445395,0.0244901180267334
DIS,"{'setFinestScale': 2, 'setPatchSize': 8, 'setPatchStride': 4, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,42.53542709350586,253.52962239583334,35.330732345581055,0.14047105406337504,0.02397632598876953
DIS,"{'setFinestScale': 2, 'setPatchSize': 8, 'setPatchStride': 6, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,43.046841303507485,253.09309895833334,35.66872342427572,0.13708593927123092,0.021960735321044922
DIS,"{'setFinestScale': 2, 'setPatchSize': 8, 'setPatchStride': 6, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,43.09220059712728,253.28401692708334,35.69616508483887,0.13751290981435982,0.022967815399169922
DIS,"{'setFinestScale': 2, 'setPatchSize': 12, 'setPatchStride': 4, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,42.95727094014486,252.94075520833334,35.68172709147135,0.13668150649914249,0.02497076988220215
DIS,"{'setFinestScale': 2, 'setPatchSize': 12, 'setPatchStride': 4, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,42.89899126688639,253.203125,35.610202153523765,0.137615256988834,0.02616572380065918
DIS,"{'setFinestScale': 2, 'setPatchSize': 12, 'setPatchStride': 6, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,43.087775548299156,253.73079427083334,35.805521647135414,0.1363683087869244,0.02098703384399414
DIS,"{'setFinestScale': 2, 'setPatchSize': 12, 'setPatchStride': 6, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L2\2020_07_31_B159M_Location_2_L2-000-TY_OCT_z58.mat,43.06749471028646,253.60074869791666,35.76300239562988,0.1370323258809123,0.021961212158203125
DIS,"{'setFinestScale': 1, 'setPatchSize': 8, 'setPatchStride': 4, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L3\2020_07_31_B159M_Location_3_L3-000-CT_OCT_z58.mat,39.23363637924194,254.078125,36.73649597167969,0.12758071588234896,0.05968737602233887
DIS,"{'setFinestScale': 1, 'setPatchSize': 8, 'setPatchStride': 4, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L3\2020_07_31_B159M_Location_3_L3-000-CT_OCT_z58.mat,39.201847076416016,254.4564208984375,36.7429256439209,0.12689370708532222,0.056978464126586914
DIS,"{'setFinestScale': 1, 'setPatchSize': 8, 'setPatchStride': 6, 'setGradientDescentIterations': 12, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L3\2020_07_31_B159M_Location_3_L3-000-CT_OCT_z58.mat,40.21559190750122,254.915771484375,37.59488248825073,0.1211184042829393,0.05541801452636719
DIS,"{'setFinestScale': 1, 'setPatchSize': 8, 'setPatchStride': 6, 'setGradientDescentIterations': 16, 'setVariationalRefinementAlpha': 1.0, 'setVariationalRefinementDelta': 0.5, 'setVariationalRefinementGamma': 0.5, 'setUseMeanNormalization': True, 'setUseSpatialPropagation': True}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L3\2020_07_31_B159M_Location_3_L3-000-CT_OCT_z58.mat,39.965088844299316,254.880859375,37.555232524871826,0.1234331825981102,0.053844451904296875
